rut,nombre,nota1,nota2,nota3,promedio
10000121-4,Sofia Vera,5.4,6.0,6.1,5.8
10000122-5,Pedro Rojas,6.1,4.8,5.6,5.5
10000123-6,Luis Silva,6.4,4.8,4.1,5.1
10000124-7,Ana Lopez,6.5,5.2,5.5,5.7
10000125-8,Pedro Rojas,5.7,6.4,6.2,6.1
10000126-0,Pedro Rojas,5.7,4.8,4.2,4.9
10000127-1,Maria Torres,6.8,5.6,7.0,6.5
10000128-2,Ana Lopez,5.9,5.3,5.8,5.7
10000129-3,Pedro Rojas,4.7,4.1,7.0,5.3
10000130-4,Sofia Vera,4.8,5.6,5.9,5.4
10000131-5,Sofia Vera,4.2,5.9,5.5,5.2
10000132-6,Ana Lopez,5.0,4.2,4.1,4.4
10000133-7,Pedro Rojas,6.3,5.1,4.8,5.4
10000134-8,Sofia Vera,5.0,5.9,6.8,5.9
10000135-0,Maria Torres,6.5,5.2,6.9,6.2
10000136-1,Pedro Rojas,5.7,4.9,6.9,5.8
10000137-2,Pedro Rojas,4.2,5.8,5.1,5.0
10000138-3,Sofia Vera,4.6,6.5,4.8,5.3
10000139-4,Pedro Rojas,4.3,4.6,4.4,4.4
10000140-5,Sofia Vera,5.6,5.0,4.6,5.1
10000141-6,Sofia Vera,4.3,6.6,4.5,5.1
10000142-7,Maria Torres,5.2,6.8,4.7,5.6
10000143-8,Sofia Vera,5.4,5.2,6.0,5.5
10000144-0,Maria Torres,5.7,5.2,4.0,5.0
10000145-1,Ana Lopez,4.1,6.2,6.0,5.4
10000146-2,Maria Torres,6.6,7.0,6.5,6.7
10000147-3,Sofia Vera,6.8,7.0,6.9,6.9
10000148-4,Luis Silva,5.3,6.3,4.2,5.3
10000149-5,Ana Lopez,4.8,6.4,6.6,5.9
